分析報告開始,分析報告結束,廣告名稱,廣告投遞,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,31,300,每日,2,,1.15,2026-05-23,進行中
2026-02-23,2026-05-29,0422_短影片,inactive,,,2,607,actions:leadgen.other,1214,300,每日,57,2.169035,1.375514,2026-05-23,進行中
2026-02-23,2026-05-29,0415_驕傲棟距,active,,,,,,168,300,每日,6,0.449438,1.468647,2026-05-23,進行中
2026-02-23,2026-05-29,0415_驕傲棟距,not_delivering,,,1,489,actions:leadgen.other,489,300,每日,14,0.878294,1.581349,2026-05-23,進行中
2026-02-23,2026-05-29,0422_短影片,active,,,2,851,actions:leadgen.other,1702,300,每日,71,1.524711,1.636833,2026-05-23,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,307,300,每日,12,0.447761,1.334661,2026-05-23,進行中
2026-02-23,2026-05-29,0223_影片,inactive,,,,,,111,300,每日,4,1.734104,1.101911,2026-05-23,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,active,,,4,350.5,actions:leadgen.other,1402,300,每日,48,0.897386,1.688406,2026-05-23,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,218,200,每日,7,0.231481,1.203343,2026-05-23,進行中
2026-02-23,2026-05-29,0223_影片,not_delivering,1,,,,,337,200,每日,27,2.295082,1.25,2026-05-23,進行中
2026-02-23,2026-05-29,0415_驕傲棟距,active,,,,,,143,300,每日,12,3.431373,1.228916,2026-05-26,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,422,300,每日,9,0.625,1.2749,2026-05-26,進行中
2026-02-23,2026-05-29,0401_立可交屋,active,,,,,,323,300,每日,6,0.303951,1.250951,2026-05-26,進行中
2026-02-23,2026-05-29,0401_立可交屋,active,,,,,,462,300,每日,8,0.900901,1.281755,2026-05-23,進行中
2026-02-23,2026-05-29,0401_立可交屋,active,,,,,,144,300,每日,3,,1.232432,2026-05-27,進行中
2026-02-23,2026-05-29,0415_驕傲棟距,active,,,,,,123,300,每日,4,0.409836,1.232323,2026-05-27,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,341,300,每日,8,0.621118,1.189655,2026-05-27,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,active,,,,,,284,300,每日,9,0.471698,1.225434,2026-05-27,進行中
2026-02-23,2026-05-29,0422_短影片,active,,,,,,134,300,每日,5,1.290323,1.139706,2026-05-27,進行中
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,26,233,每日,4,4.395604,1.083333,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,,,,771,233,每日,41,1.465517,1.171717,2026-04-29,2026-05-22
2026-02-23,2026-05-29,0506_B20外企,inactive,,,,,,307,233,每日,34,1.426534,1.390873,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0506_B20外企 - 複本",not_delivering,,,,,,137,233,每日,6,0.342466,1.370892,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0506_B20外企 - 複本",inactive,1,,1,1099,actions:leadgen.other,1099,7000,總經費,60,1.010509,1.892884,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,3,493,actions:leadgen.other,1479,333,每日,82,0.948396,1.80332,2026-05-08,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,2,,5,320.8,actions:leadgen.other,1604,333,每日,90,1.646844,1.503439,2026-05-08,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",inactive,,,,,,103,333,每日,8,0.480769,1.395973,2026-05-08,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本 - 複本",not_delivering,,,1,666,actions:leadgen.other,666,9000,總經費,38,1.096642,1.63565,2026-02-23,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,1,1,3,903.33333333,actions:leadgen.other,2710,9000,總經費,157,1.295174,1.926358,2026-02-23,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本 - 複本",inactive,,,1,875,actions:leadgen.other,875,7800,總經費,56,1.508197,1.430582,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0506_B20外企 - 複本 - 複本",inactive,,,,,,695,9000,總經費,21,0.613497,1.585946,2026-02-23,2026-05-22
2026-02-23,2026-05-29,"0506_B20外企 - 複本 - 複本",inactive,,,1,1055,actions:leadgen.other,1055,7800,總經費,45,0.633619,1.574531,2026-03-30,2026-05-22
2026-02-23,2026-05-29,0519_登頂東區,inactive,,,,,,320,7800,總經費,30,1.016518,1.418018,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0519_登頂東區 - 複本",not_delivering,,,,,,349,4300,總經費,33,1.104972,1.343228,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0519_登頂東區 - 複本",not_delivering,,,,,,200,333,每日,15,0.639659,1.4,2026-05-08,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本 - 複本",not_delivering,,,,,,0,4300,總經費,3,9.090909,1.157895,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,,,,72,4300,總經費,4,3.846154,1.083333,2026-03-04,2026-05-22
2026-02-23,2026-05-29,0415_驕傲棟距,not_delivering,,,,,,18,3600,總經費,1,0.813008,1.033613,2026-03-04,2026-05-22
2026-02-23,2026-05-29,0422_短影片,not_delivering,,,,,,445,3600,總經費,19,1.260504,1.07855,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,716,7000,總經費,46,1.143241,1.78726,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,239,7000,總經費,4,,1.269608,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,159,7000,總經費,9,2.356902,1.407583,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本 - 複本",not_delivering,,,,,,775,7000,總經費,55,1.73913,1.389129,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,251,6700,總經費,17,0.881057,1.541596,2026-04-16,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,1,7000,總經費,0,,1,2026-04-21,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,3,683.33333333,actions:leadgen.other,2050,7000,總經費,149,1.023326,2.092913,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,,,,661,5800,總經費,44,1.834862,1.287863,2026-04-27,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,2,617.5,actions:leadgen.other,1235,5800,總經費,76,1.051136,1.939394,2026-04-27,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,3,233,每日,0,,1,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,6,233,每日,0,,1.153846,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",inactive,,,,,,1010,233,每日,53,0.880373,1.722569,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,,,,98,233,每日,1,,1.076923,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,283,233,每日,15,1.380671,1.254951,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,,,,19,233,每日,2,,1.1,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,1,824,actions:leadgen.other,824,233,每日,44,0.96242,1.410472,2026-04-29,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,1,908,actions:leadgen.other,908,7800,總經費,37,0.949598,1.623962,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,1,,6,471.33333333,actions:leadgen.other,2828,6700,總經費,131,0.888486,2.239139,2026-04-16,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,17,6700,總經費,4,2.702703,1.193548,2026-04-16,2026-05-22
2026-02-23,2026-05-29,0401_立可交屋,inactive,,,,,,9,6700,總經費,0,,1.142857,2026-04-16,2026-05-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,354,1450,總經費,21,1.05042,1.086758,2026-04-16,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本 - 複本",not_delivering,,,,,,321,1450,總經費,9,0.242131,1.104278,2026-04-16,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,294,150,每日,16,1.341282,1.256554,2026-04-15,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",not_delivering,,,,,,364,150,每日,17,1.19863,1.138402,2026-04-15,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,305,960,總經費,6,0.228311,1.284457,2026-04-17,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,411,960,總經費,21,1.176471,1.680791,2026-04-17,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,217,233,每日,13,2.025316,1.446886,2026-04-15,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,14,7000,總經費,0,,1.113636,2026-04-21,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,64,7000,總經費,1,,1.290598,2026-04-21,2026-05-22
2026-02-23,2026-05-29,0422_短影片,not_delivering,,,5,616.2,actions:leadgen.other,3081,6700,總經費,187,1.497797,1.821245,2026-04-16,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",inactive,,,1,848,actions:leadgen.other,848,233,每日,63,2.071563,1.593,2026-04-15,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",inactive,,,2,931.5,actions:leadgen.other,1863,7000,總經費,93,1.156706,1.582825,2026-04-21,2026-05-22
2026-02-23,2026-05-29,"0422_短影片 - 複本",not_delivering,,,3,603.33333333,actions:leadgen.other,1810,7000,總經費,148,1.627257,1.560095,2026-04-23,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,,,1,929,actions:leadgen.other,929,3420,總經費,43,1.037438,1.592672,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本",inactive,,,,,,600,3420,總經費,33,2.038505,1.204638,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,0,4000,總經費,0,,1,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,1,1,2,768,actions:leadgen.other,1536,4100,總經費,114,1.191032,1.772351,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,1,,2,476.5,actions:leadgen.other,953,4100,總經費,40,0.578273,1.688285,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0223_影片,not_delivering,,,2,543,actions:leadgen.other,1086,4300,總經費,27,1.551095,1.118367,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,1,1078,actions:leadgen.other,1078,4300,總經費,36,1.017165,1.613333,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,1,,1,599,actions:leadgen.other,599,3600,總經費,33,0.887978,1.591304,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,,,,,,627,3600,總經費,49,1.612903,1.130075,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,371,200,每日,19,1.647446,1.469734,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,1,1,,,,283,200,每日,14,1.984127,1.333333,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本",not_delivering,,,1,341,actions:leadgen.other,341,300,每日,17,1.528384,1.335277,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,,,,,,885,300,每日,29,1.01476,1.407792,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,1,,1,1357,actions:leadgen.other,1357,3420,總經費,78,1.060717,1.890733,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",not_delivering,,,,,,180,3600,總經費,7,,1.330218,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",inactive,,,,,,46,4100,總經費,4,1.704545,1.142857,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0415_驕傲棟距,not_delivering,,,,,,157,4100,總經費,7,1.626016,1.382022,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,5,563.6,actions:leadgen.other,2818,233,每日,155,1.096442,2.471792,2026-04-15,2026-05-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,165,300,每日,5,1.149425,1.2,2026-04-12,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,2,187.5,actions:leadgen.other,375,3420,總經費,18,2.147971,1.790598,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,197,150,每日,7,0.47619,1.438356,2026-04-15,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,194,4300,總經費,4,1.769912,1.43038,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0415_驕傲棟距 - 複本",not_delivering,,,,,,257,150,每日,7,0.533333,1.175549,2026-04-15,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,not_delivering,,,,,,895,6200,總經費,73,0.541638,1.837065,2026-03-31,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,not_delivering,1,,5,452.6,actions:leadgen.other,2263,6700,總經費,127,0.822669,1.894372,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",inactive,,,,,,692,7800,總經費,32,0.591133,1.576087,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,61,6400,總經費,6,0.574713,1.298507,2026-03-30,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,137,12400,總經費,7,1.970443,1.318182,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,143,4700,總經費,12,2.238806,1.067729,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",inactive,,,1,648,actions:leadgen.other,648,4700,總經費,44,0.895522,1.471449,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,175,4700,總經費,11,0.659341,1.246575,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,97,4600,總經費,4,,1.09375,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",not_delivering,,,,,,378,4600,總經費,28,1.272534,1.335694,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,160,4600,總經費,6,0.593472,1.046584,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,48,4400,總經費,1,,1.173913,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,1,,,,,309,4400,總經費,15,1.974865,1.069098,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本",not_delivering,1,1,,,,267,4400,總經費,8,0.623701,1.286096,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,1,,1,214,actions:leadgen.other,214,4800,總經費,15,0.604839,1.24937,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,,,,913,4800,總經費,42,0.718133,1.12677,2026-04-08,2026-04-22
