分析報告開始,分析報告結束,廣告名稱,廣告投遞,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-05-29,0401_立可交屋,inactive,,,,,,654,4800,總經費,34,0.656716,1.402848,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,82,4400,總經費,3,0.775194,1.156951,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,,,,243,4400,總經費,19,1.246883,1.022959,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本",not_delivering,,,,,,412,4400,總經費,14,0.642398,1.330484,2026-04-08,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,116,4800,總經費,8,1.060071,1.194093,2026-04-08,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,inactive,,,,,,504,4300,總經費,8,0.409277,1.409615,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",inactive,,,,,,188,4300,總經費,5,0.301205,1.394958,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,495,8700,總經費,23,0.758397,1.339623,2026-03-24,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,3,,1,625,actions:leadgen.other,625,8400,總經費,41,1.606426,1.098126,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,,,,,,975,8400,總經費,66,0.740741,1.631868,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,244,8400,總經費,18,0.823045,1.472727,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,88,8000,總經費,4,2.12766,1.27027,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,678,8000,總經費,45,0.502513,1.522571,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",inactive,,,,,,568,8000,總經費,47,1.539708,1.10772,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,24,8000,總經費,2,,1.183099,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,1,1083,actions:leadgen.other,1083,8000,總經費,71,0.870553,1.17579,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,1,,,,,689,8000,總經費,50,0.620604,1.683148,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",inactive,,,,,,828,8000,總經費,30,0.747664,1.430481,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,89,8000,總經費,2,0.588235,1.14094,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,1,881,actions:leadgen.other,881,8000,總經費,45,0.869121,1.184019,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本",not_delivering,,,,,,96,6400,總經費,2,0.358423,1.347826,2026-03-30,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本",not_delivering,1,,1,2041,actions:leadgen.other,2041,6400,總經費,159,1.443408,1.174246,2026-03-30,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,inactive,,,1,261,actions:leadgen.other,261,7800,總經費,23,1.02145,1.463378,2026-03-30,2026-05-22
2026-02-23,2026-05-29,0223_影片,not_delivering,1,,6,457.5,actions:leadgen.other,2745,7800,總經費,208,1.441522,1.231515,2026-03-30,2026-05-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,1,,,,,196,7800,總經費,17,1.136364,1.315888,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,215,6700,總經費,7,0.547445,1.304762,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本 - 複本",not_delivering,1,,,,,799,6700,總經費,43,1.27551,1.066667,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,49,6200,總經費,3,,1.335443,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本 - 複本",not_delivering,1,,,,,900,6200,總經費,70,1.832812,1.150129,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,203,12400,總經費,14,1.234568,1.514019,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,218,2700,總經費,7,0.364964,1.647295,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,89,2700,總經費,8,0.852273,1.485232,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,1,7800,總經費,0,,1.166667,2026-03-04,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,1,73,actions:leadgen.other,73,2700,總經費,9,1.215805,1.321285,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,882,2200,總經費,56,0.773301,1.144388,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,176,2200,總經費,12,1.240695,1.283439,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",inactive,,,,,,833,2200,總經費,40,0.91663,1.703346,2026-03-20,2026-03-24
2026-02-23,2026-05-29,0223_影片,not_delivering,,,2,696.5,actions:leadgen.other,1393,11000,總經費,113,1.228364,1.174041,2026-03-20,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,103,11000,總經費,4,0.423729,1.333333,2026-03-20,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,1,1179,actions:leadgen.other,1179,11000,總經費,72,0.801727,1.772131,2026-03-20,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,1020,2500,總經費,36,0.98085,1.109326,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,39,2500,總經費,3,0.892857,1.272727,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,517,2500,總經費,30,0.78329,1.461832,2026-03-20,2026-03-24
2026-02-23,2026-05-29,0223_影片,not_delivering,,,,,,378,3000,總經費,27,2.222222,1.149312,2026-03-22,2026-04-01
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,139,3000,總經費,11,1.408451,1.262222,2026-03-22,2026-04-01
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,11,3000,總經費,0,,1.151515,2026-03-22,2026-04-01
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,552,8900,總經費,63,0.895522,1.471449,2026-03-23,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,,,,,,333,8900,總經費,44,2.362205,1.099567,2026-03-23,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,67,8700,總經費,3,2.325581,1.323077,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,429,8700,總經費,39,0.993677,1.359951,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_影片,not_delivering,,,,,,338,8700,總經費,20,1.353638,1.104673,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_影片,inactive,1,,,,,177,8700,總經費,13,1.165501,1.111399,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,1,41,actions:leadgen.other,41,8700,總經費,8,1.818182,1.410256,2026-03-24,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,1,1,1473,actions:leadgen.other,1473,4700,總經費,63,0.746027,1.673724,2026-02-23,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,3,4800,總經費,1,5.555556,1.2,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,1,790,actions:leadgen.other,790,1500,總經費,45,0.812065,1.574429,2026-03-13,2026-03-16
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本 - 複本",not_delivering,,,,,,565,1500,總經費,26,1.041667,1.536,2026-03-13,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,262,1500,總經費,12,1.37931,1.359375,2026-03-13,2026-03-16
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本 - 複本",not_delivering,1,,,,,1110,1500,總經費,54,0.820008,1.724894,2026-03-13,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,109,2700,總經費,4,0.217865,1.247283,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,1,,,,,1390,2700,總經費,63,0.805437,1.171631,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,,,,,,706,2700,總經費,54,0.62569,1.61342,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,33,2700,總經費,3,2.5,1.038961,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,946,2700,總經費,79,1.765448,1.19668,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,1,1,,,,1444,2700,總經費,78,1.241379,1.127089,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,18,2700,總經費,2,1.298701,1.184615,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,1,,1,1161,actions:leadgen.other,1161,2700,總經費,108,0.828877,1.720331,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",not_delivering,,,,,,0,2700,總經費,0,,1,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,4,,9,628.77777778,actions:leadgen.other,5659,12400,總經費,429,1.1529,2.325106,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,1,,2,1305.5,actions:leadgen.other,2611,12400,總經費,173,2.674067,1.377824,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,18,12400,總經費,1,,1.152542,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,,,,,,236,5500,總經費,17,1.170569,1.302832,2026-03-04,2026-03-16
2026-02-23,2026-05-29,0305_外觀地段(外企,inactive,,,,,,200,4300,總經費,15,1.080247,1.489655,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,133,2700,總經費,6,,1.204611,2026-03-04,2026-03-16
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,1,462,actions:leadgen.other,462,5500,總經費,24,0.852713,1.575092,2026-03-04,2026-03-16
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,1,,4,591.25,actions:leadgen.other,2365,3600,總經費,142,0.649351,1.76,2026-03-04,2026-05-22
2026-02-23,2026-05-29,0305_外觀地段(外企,inactive,,,1,158,actions:leadgen.other,158,3600,總經費,5,1.123596,1.210884,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",not_delivering,,,1,1001,actions:leadgen.other,1001,5500,總經費,44,0.725338,1.60559,2026-03-04,2026-03-16
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",not_delivering,,,1,1123,actions:leadgen.other,1123,2700,總經費,87,0.838574,1.546549,2026-03-04,2026-03-16
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",inactive,,1,1,1478,actions:leadgen.other,1478,7800,總經費,63,0.468211,1.61996,2026-03-04,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,,,,,,166,4800,總經費,18,1.538462,1.140351,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,4,536.5,actions:leadgen.other,2146,4800,總經費,158,0.811478,1.925934,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",inactive,,,1,812,actions:leadgen.other,812,4800,總經費,41,0.5,1.748808,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,1,,,,,846,5900,總經費,64,1.355358,1.065914,2026-03-10,2026-03-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,40,5900,總經費,1,,1.314516,2026-03-10,2026-03-22
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",inactive,,,,,,58,5900,總經費,3,,1.162162,2026-03-10,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,,,,,,245,5900,總經費,17,0.881834,1.05,2026-03-10,2026-03-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,43,5900,總經費,0,,1.269841,2026-03-10,2026-03-22
2026-02-23,2026-05-29,"0305_外觀地段(外企 - 複本",not_delivering,,,,,,551,5900,總經費,22,0.755668,1.323333,2026-03-10,2026-03-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,104,5900,總經費,5,1.020408,1.2,2026-03-10,2026-03-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,18,5900,總經費,3,,1.16,2026-03-10,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,5,7800,總經費,0,,1,2026-03-04,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,1,4800,總經費,0,,1.071429,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",inactive,,,,,,7,4300,總經費,1,,1.1,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,14,2700,總經費,1,,1.229167,2026-03-04,2026-03-16
2026-02-23,2026-05-29,0223_影片,inactive,,,1,402,actions:leadgen.other,402,9000,總經費,20,1.131687,1.289125,2026-02-23,2026-05-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,2,3,6,600.16666667,actions:leadgen.other,3601,9000,總經費,337,0.887049,2.465528,2026-02-23,2026-05-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,1,1,4,530.25,actions:leadgen.other,2121,4700,總經費,129,1.010101,2.490026,2026-02-23,2026-03-16
2026-02-23,2026-05-29,0223_影片,inactive,,,2,480,actions:leadgen.other,960,4700,總經費,40,1.129111,1.336614,2026-02-23,2026-03-16
2026-02-23,2026-05-29,0223_影片,not_delivering,,,,,,34,4000,總經費,1,,1.132075,2026-03-03,2026-03-13
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,518,4000,總經費,54,1.037247,1.523707,2026-03-03,2026-03-13
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,,,6,432.83333333,actions:leadgen.other,2597,4300,總經費,256,0.887605,2.058861,2026-03-04,2026-05-22
2026-02-23,2026-05-29,0223_影片,inactive,,,,,,762,4300,總經費,50,2.795527,1.592875,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,,1,,,,646,7800,總經費,18,0.221893,1.415707,2026-03-04,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,1,2,10,470.7,actions:leadgen.other,4707,7800,總經費,341,1.096688,1.444552,2026-03-04,2026-03-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,151,3600,總經費,8,0.508475,1.299559,2026-03-04,2026-05-22
2026-02-23,2026-05-29,0223_影片,inactive,,,1,460,actions:leadgen.other,460,3600,總經費,15,0.783546,1.095494,2026-03-04,2026-05-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,1077,2700,總經費,76,1.200519,1.211002,2026-03-04,2026-03-16
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",inactive,,,,,,168,2700,總經費,7,0.561798,1.238979,2026-03-04,2026-03-16
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,2,1,,,,1049,5500,總經費,59,1.432361,1.202936,2026-03-04,2026-03-16
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,85,250,每日,5,1.244813,1.281915,2026-03-26,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,630,250,每日,31,0.805271,1.48317,2026-03-26,進行中
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,1,63,actions:leadgen.other,63,250,每日,4,1.171875,1.361702,2026-03-26,進行中
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,628,250,每日,36,0.926498,1.593504,2026-03-26,進行中
